ru,data,refeicao,id_preparacao,tipo_preparacao,preparacao,temperatura_c,temperatura_valida,temperatura_plausivel,classe_termica,limite_referencia,status_temperatura
P1,2026-01-05,Almoço,103,PV,Cozido Bovino à Calabresa,82.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Almoço,55,PB,Cubos de Frango ao M. Vermelho,69.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Almoço,207,VEG,Soja Tropical,61.6,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-05,Almoço,4,Arroz/Baião,Arroz Branco,71.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Almoço,2,Arroz Integral,Arroz Integral,72.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Almoço,22,Feijão,Feijão Carioca,69.8,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Almoço,37,Guarnição,Farofa,43.5,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-05,Almoço,142,Salada,Salada Crua,,False,False,fria,< 10°C,SEM_MEDICAO
P1,2026-01-05,Almoço,157,Suco,Goiaba,13.9,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-05,Almoço,166,Suco SA,Goiaba,11.4,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-05,Almoço,146,Sobremesa,Banana,,False,False,,,SEM_MEDICAO
P1,2026-01-05,Jantar,111,PV,Cubos Suíno ao molho barbecue,70.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Jantar,85,PB,Sobrecoxa Desossada ao M.,49.8,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-05,Jantar,179,VEG,Bolinha de grão de bico,56.0,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-05,Jantar,4,Arroz/Baião,Arroz Branco,72.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Jantar,2,Arroz Integral,Arroz Integral,73.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Jantar,23,Feijão,Feijão de Corda,71.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-05,Jantar,44,Guarnição,Purê,76.5,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-05,Jantar,142,Salada,Salada Crua,,False,False,fria,< 10°C,SEM_MEDICAO
P1,2026-01-05,Jantar,159,Suco,Manga,15.8,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-05,Jantar,168,Suco SA,Manga,14.0,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-05,Jantar,145,Sobremesa,Abacaxi,18.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-06,Almoço,129,PV,Paçoca de Carne,50.0,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-06,Almoço,81,PB,Sobrecoxa Assada,61.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Almoço,173,VEG,Arroz Cremoso de Lentilha,74.6,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-06,Almoço,5,Arroz/Baião,Baião,66.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Almoço,2,Arroz Integral,Arroz Integral,71.0,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Almoço,23,Feijão,Feijão de Corda,60.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Almoço,44,Guarnição,Purê,81.9,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-06,Almoço,142,Salada,Salada Crua,,False,False,fria,< 10°C,SEM_MEDICAO
P1,2026-01-06,Almoço,149,Sobremesa,Melancia,16.5,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-06,Almoço,155,Suco,Caju,6.6,True,True,fria,< 10°C,CONFORME
P1,2026-01-06,Almoço,164,Suco SA,Caju,8.9,True,True,fria,< 10°C,CONFORME
P1,2026-01-06,Jantar,99,PV,Carne Moída ao Molho,79.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Jantar,60,PB,Cubos de Frango com Batata Rústica,64.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Jantar,192,VEG,Jardineira de Soja,72.7,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-06,Jantar,4,Arroz/Baião,Arroz Branco,76.0,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Jantar,2,Arroz Integral,Arroz Integral,80.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Jantar,22,Feijão,Feijão Carioca,69.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-06,Jantar,40,Guarnição,Macarrão,36.9,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-06,Jantar,142,Salada,Salada Crua,,False,False,fria,< 10°C,SEM_MEDICAO
P1,2026-01-06,Jantar,148,Sobremesa,Maçã,,False,False,,,SEM_MEDICAO
P1,2026-01-06,Jantar,161,Suco,Tamarindo,15.0,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-06,Jantar,170,Suco SA,Tamarindo,14.5,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-07,Almoço,119,PV,Feijoada,75.6,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Almoço,71,PB,Isca de Frango ao M. de Legumes,62.8,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Almoço,177,VEG,Bobó de Legumes,67.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-07,Almoço,4,Arroz/Baião,Arroz Branco,67.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Almoço,2,Arroz Integral,Arroz Integral,69.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Almoço,22,Feijão,Feijão Carioca,79.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Almoço,38,Guarnição,Farofa Branca com Soja,40.6,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-07,Almoço,142,Salada,Salada Crua,,False,False,fria,< 10°C,SEM_MEDICAO
P1,2026-01-07,Almoço,147,Sobremesa,Laranja,,False,False,,,SEM_MEDICAO
P1,2026-01-07,Almoço,154,Suco,Acerola,5.3,True,True,fria,< 10°C,CONFORME
P1,2026-01-07,Almoço,163,Suco SA,Acerola,7.2,True,True,fria,< 10°C,CONFORME
P1,2026-01-07,Jantar,94,PV,Assado de Panela,76.2,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Jantar,82,PB,Sobrecoxa Assada/ ao Forno,63.0,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Jantar,194,VEG,Lasanha de Batatas,60.8,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-07,Jantar,4,Arroz/Baião,Arroz Branco,75.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Jantar,2,Arroz Integral,Arroz Integral,80.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Jantar,23,Feijão,Feijão de Corda,76.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-07,Jantar,36,Guarnição,Cuscuz,69.6,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-07,Jantar,141,Salada,Salada Cozida,66.7,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-07,Jantar,150,Sobremesa,Melão Espanhol,18.5,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-07,Jantar,159,Suco,Manga,12.7,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-07,Jantar,168,Suco SA,Manga,11.0,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-08,Almoço,124,PV,Isca de Carne ao Molho Escuro,83.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Almoço,78,PB,Peixe ao M. de Peixada,58.5,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-08,Almoço,186,VEG,Estrogonofe de Grão de Bico,69.4,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-08,Almoço,4,Arroz/Baião,Arroz Branco,74.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Almoço,2,Arroz Integral,Arroz Integral,73.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Almoço,23,Feijão,Feijão de Corda,69.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Almoço,40,Guarnição,Macarrão,38.9,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-08,Almoço,142,Salada,Salada Crua,16.0,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-08,Almoço,150,Sobremesa,Melão Espanhol,14.5,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-08,Almoço,160,Suco,Seriguela,6.6,True,True,fria,< 10°C,CONFORME
P1,2026-01-08,Almoço,169,Suco SA,Seriguela,7.2,True,True,fria,< 10°C,CONFORME
P1,2026-01-08,Jantar,132,PV,Suíno Acebolado,75.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Jantar,64,PB,Estrogonofe de Frango,70.6,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Jantar,176,VEG,Assado de Lentilha,61.9,True,True,,,SEM_CLASSIFICACAO
